2022-09-26 19:56:41,919 INFO: => creating model 
2022-09-26 19:56:47,770 INFO: cls num list:
2022-09-26 19:56:47,770 INFO: [5000, 2997, 1796, 1077, 645, 387, 232, 139, 83, 50]
2022-09-26 19:56:48,544 INFO: Epoch: [0][0/391], lr: 0.00200	Time 0.761 (0.761)	Data 0.452 (0.452)	Loss 6.2858 (6.2858)	Prec@1 1.562 (1.562)	
2022-09-26 19:56:48,993 INFO: Epoch: [0][10/391], lr: 0.00200	Time 0.041 (0.110)	Data 0.000 (0.042)	Loss 3.0817 (3.8303)	Prec@1 0.781 (0.994)	
2022-09-26 19:56:49,444 INFO: Epoch: [0][20/391], lr: 0.00200	Time 0.045 (0.079)	Data 0.000 (0.023)	Loss 2.3731 (3.2825)	Prec@1 3.906 (1.711)	
2022-09-26 19:56:49,852 INFO: Epoch: [0][30/391], lr: 0.00200	Time 0.042 (0.067)	Data 0.000 (0.016)	Loss 2.4649 (3.0152)	Prec@1 0.781 (1.689)	
2022-09-26 19:56:50,269 INFO: Epoch: [0][40/391], lr: 0.00200	Time 0.040 (0.061)	Data 0.000 (0.012)	Loss 2.4762 (2.8542)	Prec@1 1.562 (1.753)	
2022-09-26 19:56:50,680 INFO: Epoch: [0][50/391], lr: 0.00200	Time 0.041 (0.057)	Data 0.000 (0.010)	Loss 2.3252 (2.7594)	Prec@1 1.562 (1.716)	
2022-09-26 19:56:51,094 INFO: Epoch: [0][60/391], lr: 0.00200	Time 0.042 (0.054)	Data 0.000 (0.008)	Loss 2.2613 (2.6816)	Prec@1 2.344 (1.819)	
2022-09-26 19:56:51,509 INFO: Epoch: [0][70/391], lr: 0.00200	Time 0.044 (0.053)	Data 0.000 (0.007)	Loss 2.2994 (2.6201)	Prec@1 1.562 (1.915)	
2022-09-26 19:56:51,934 INFO: Epoch: [0][80/391], lr: 0.00200	Time 0.043 (0.051)	Data 0.000 (0.007)	Loss 2.2079 (2.5743)	Prec@1 1.562 (1.997)	
2022-09-26 19:56:52,350 INFO: Epoch: [0][90/391], lr: 0.00200	Time 0.042 (0.050)	Data 0.000 (0.006)	Loss 2.2022 (2.5385)	Prec@1 7.031 (2.181)	
2022-09-26 19:56:52,766 INFO: Epoch: [0][100/391], lr: 0.00200	Time 0.043 (0.049)	Data 0.000 (0.005)	Loss 2.1428 (2.5058)	Prec@1 2.344 (2.228)	
2022-09-26 19:56:53,157 INFO: Epoch: [0][110/391], lr: 0.00200	Time 0.040 (0.048)	Data 0.000 (0.005)	Loss 2.1423 (2.4780)	Prec@1 3.906 (2.393)	
2022-09-26 19:56:53,549 INFO: Epoch: [0][120/391], lr: 0.00200	Time 0.042 (0.048)	Data 0.000 (0.005)	Loss 2.1360 (2.4549)	Prec@1 3.906 (2.428)	
2022-09-26 19:56:54,011 INFO: Epoch: [0][130/391], lr: 0.00200	Time 0.048 (0.048)	Data 0.000 (0.004)	Loss 2.1610 (2.4351)	Prec@1 3.125 (2.499)	
2022-09-26 19:56:54,445 INFO: Epoch: [0][140/391], lr: 0.00200	Time 0.042 (0.047)	Data 0.000 (0.004)	Loss 2.1564 (2.4192)	Prec@1 3.125 (2.504)	
2022-09-26 19:56:54,861 INFO: Epoch: [0][150/391], lr: 0.00200	Time 0.048 (0.047)	Data 0.000 (0.004)	Loss 2.2117 (2.4043)	Prec@1 0.781 (2.540)	
2022-09-26 19:56:55,264 INFO: Epoch: [0][160/391], lr: 0.00200	Time 0.041 (0.046)	Data 0.000 (0.004)	Loss 2.2162 (2.3914)	Prec@1 0.781 (2.557)	
2022-09-26 19:56:55,671 INFO: Epoch: [0][170/391], lr: 0.00200	Time 0.040 (0.046)	Data 0.000 (0.004)	Loss 2.1728 (2.3791)	Prec@1 4.688 (2.590)	
2022-09-26 19:56:56,079 INFO: Epoch: [0][180/391], lr: 0.00200	Time 0.041 (0.046)	Data 0.000 (0.003)	Loss 2.2008 (2.3684)	Prec@1 2.344 (2.633)	
2022-09-26 19:56:56,487 INFO: Epoch: [0][190/391], lr: 0.00200	Time 0.037 (0.046)	Data 0.000 (0.003)	Loss 2.1718 (2.3594)	Prec@1 3.125 (2.659)	
2022-09-26 19:56:56,889 INFO: Epoch: [0][200/391], lr: 0.00200	Time 0.040 (0.045)	Data 0.000 (0.003)	Loss 2.1622 (2.3492)	Prec@1 3.906 (2.690)	
